phrasal	meaning	significado	phrase	frase	position
shake off	get rid of an illness.	livrar-se de uma doença.	It took me ages to shake off the cough.	Ele balançou o cara com alguma história sobre precisar de dinheiro para uma operação.	5862
shake off	remove (something attached to, on or clinging to an object) by shaking	remover (algo preso ou agarrado a um objeto) agitando			5863
shake off	dissociate oneself from 	dissociar-se de			5864
shake off	to dislodge or get rid of something by shaking.	desalojar ou livrar-se de algo, agitando.	He tried to shake the tick off, but it had dug itself into his skin.		5865
shake off	to rid or free oneself from someone or something that one finds aggravating, upsetting, or annoying.	livrar-se ou libertar-se de alguém ou algo que se acha agravante, perturbador ou irritante.	My little brother has been following me around all day. I need to shake him off.		5866
shake off	to free oneself of something; get rid of something	libertar-se de algo; livrar-se de algo	We shook off our fear and proceeded into the dark cave.		5867
shake off	rid oneself of a malady or its symptoms	livrar-se de uma doença ou de seus sintomas	I thought I was catching a cold, but I guess I shook it off.		5868
shake off	shake something in order to get something off of it 	agitar algo para tirar algo disso			5869
shake out	shake clothes, cloths, etc to remove dirt or creases.	agitar roupas, panos, etc para remover sujeira ou vincos.	He took the tablecloth outside and shook it out after dinner.	Ele pegou a toalha de mesa e sacudiu depois do jantar.	5870
shake up	to mix something in a container by shaking it.	misturar algo em um recipiente agitando-o.	The news of her death really shook me up.	Ele pegou a toalha de mesa e sacudiu depois do jantar.	5871
shake up	upset or shock.	chateado ou chocado.	The news of her death really shook me up.	Ele pegou a toalha de mesa e sacudiu depois do jantar.	5872
shake up	make major changes to improve or save a company, organisation, etc.	fazer grandes mudanças para melhorar ou salvar uma empresa, organização, etc.	The management are shaking things up and getting rid of a lot of workers.	A administração está agitando as coisas e se livrar de muitos trabalhadores.	5873
shake up	mix things in a container by shaking hard.	misturar as coisas em um recipiente, agitando muito.	Pour the ingredients into a container and shake them up.	A administração está agitando as coisas e se livrar de muitos trabalhadores.	5874
shake up	to mix something in a container by shaking it.	misturar algo em um recipiente agitando-o.	The news of her death really shook me up.	Ele pegou a toalha de mesa e sacudiu depois do jantar.	5875
shake up	agitate by shaking	agitar sacudindo			5876
shake up	upset or distress	chateado ou angustiado			5877
shake up	reorganize, to make reforms in	reorganizar, fazer reformas em			5878
shape up	develop in a positive way.	desenvolver de uma maneira positiva.	Things are shaping up at work-everything's going well again.	Despeje os ingredientes em um recipiente e agite-os.	5879
shape up	improve to reach an acceptable standard.	melhorar para atingir um padrão aceitável.	If they don't start shaping up, they're going to lose their jobs.	As coisas estão se moldando no trabalho - tudo está indo bem novamente.	5880
shave off	shave completely.	barbear completamente.	He has shaved off his moustache and looks much younger.	Ele raspou seu bigode e parece muito mais jovem.	5881
shave off	reduce by a small amount.	reduzir uma pequena quantidade indicada.	He shaved a few thousand off the budget for the year.	Ele raspou alguns milhares do orçamento para o ano.	5882
shell out	spend money on something, especially when you think it's too expensive.	gastar dinheiro em algo, especialmente quando você acha que é muito caro.	I had to shell out a hundred pounds on the dinner.	tive que desembolsar cem libras no jantar.	5883
ship off	send someone away, often because of a problem.	enviar alguém para longe, muitas vezes por causa de um problema.	He was causing a lot of trouble, so they shipped him off to another branch.	Ele estava causando muitos problemas, então eles o enviaram para outro ramo.	5884
ship out	send goods to a place.	enviar mercadorias para um lugar.	We shipped the order out two days ago.	Nós enviamos o pedido para fora há dois dias.	5885
ship out	leave a place.	deixar um lugar, sair de um lugar.	If you've finished your work, I'm ready to ship out.	Se você terminou seu trabalho, estou pronto para enviar.	5886
shoot away	leave somewhere quickly.	deixar algum lugar rapidamente.	He shot away as soon as the bell rang for the end of the lesson.	Ele se afastou assim que o sino tocou para o final da lição.	5887
shoot back	return quickly.	retornar rapidamente.	I'm shooting back home to pick up some things I forgot to bring with me.	Ele se afastou assim que o sino tocou para o final da lição.	5888
shoot for	have as a goal.	ter como objetivo.	I'm shooting for nothing less than the presidency.	Estou atirando por nada menos que a presidência.	5889
shoot off	leave promptly and quickly.	sair prontamente e rapidamente.	I'll have to shoot off as soon as the lesson finishes, otherwise I'll miss my train.	Vou ter que atirar assim que a lição terminar, caso contrário, perderei meu trem.	5890
shoot out	go out for a short time.	sair por um curto período de tempo.	I'm shooting out to the shops for a paper.	Estou atirando para as lojas para um papel.	5891
shoot up	increase quickly.	aumentar rapidamente.	The share prices of internet companies have been shooting up lately.	Os preços das ações das empresas da Internet têm atirado ultimamente.	5892
shoot up	take illicit drugs intravenously..	tomar drogas ilícitas por via intravenosa.	The heroin-user would shoot up in shop doorways.	O usuário de heroína dispararia em portas da loja.	5893
shoot up	damage with gun-shots.	dano com tiros de arma.	The gangsters shot up the pub.	Os gangsters dispararam o pub.	5894
shoot up	increase quickly, grow.	aumentar rapidamente, crescer.	Johnny has shot up since I last saw him.	Johnny disparou desde a última vez que a vi.	5895
shop around	compare prices	comparar preços	I want to shop around a little before I decide on these boots.	Quero fazer compras um pouco antes de decidir sobre essas botas.	5896
shop around	compare prices		I want to shop around a little before I decide on these boots.	Quero fazer compras um pouco antes de decidir sobre essas botas.	5897
shop around	look around for the best price, quality, etc..	olhar ao redor pelo melhor preço, qualidade, etc.	If you shop around, you can find some real bargains for air tickets.	Se você comprar por aí, você pode encontrar algumas pechinchas reais para passagens aéreas.	5898
shop around	compare prices before buying	comparar preços antes de comprar			5899
short out	short circuit.	curto circuito.	The battery shorted out when it got wet.	A bateria em curto quando se molhou.	5900
shout down	make so much noise to stop someone being heard.	fazer muito barulho para parar alguém sendo ouvido.	His efforts to raise the issue were shouted down.	Seus esforços para aumentar a questão foram gritados.	5901
shout out	say something loudly, often to attract someone's attention.	dizer algo em voz alta, muitas vezes atrair a atenção de alguém.	She shouted out my name.	Ela gritou meu nome.	5902
show around	take someone to a place to show them certain parts.	tomar alguém para mostrar certos lugares.	The estate agent showed us around the house but we didn't like it much.	O agente imobiliário nos mostrou ao redor da casa, mas nós não gostamos muito.	5903
